id,type,owner,architecture
bartowski/Llama-SmolTalk-3.2-1B-Instruct-GGUF,quantized,bartowski,unknown
bartowski/meta-llama_Llama-4-Scout-17B-16E-Instruct-old-GGUF,quantized,bartowski,unknown
phamhai/Llama-3.2-1B-CyberFrog,base,phamhai,unknown
Salesforce/xLAM-8x7b-r,base,Salesforce,mixtral
TheBloke/OpenBuddy-Llama2-13B-v11.1-GGUF,quantized,TheBloke,llama
RedHatAI/Meta-Llama-3.1-8B-FP8,quantized,RedHatAI,llama
LGAI-EXAONE/EXAONE-Deep-7.8B-GGUF,quantized,LGAI-EXAONE,unknown
NovaSky-AI/Sky-T1-32B-Flash,finetuned,NovaSky-AI,qwen2
TinyLlama/TinyLlama-1.1B-Chat-v1.0,base,TinyLlama,llama
mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,base,mlabonne,unknown
Nitral-AI/Captain_BMO-12B,base,Nitral-AI,unknown
Mawdistical/Squelching-Fantasies-70B-Regent-GGUF,quantized,Mawdistical,unknown
TheBloke/PiVoT-0.1-Evil-a-GGUF,quantized,TheBloke,mistral
nvidia/Llama-3.1-8B-UltraLong-1M-Instruct,base,nvidia,unknown
DeepMount00/Llama-3.1-8b-ITA,finetuned,DeepMount00,llama
NCSOFT/Llama-VARCO-8B-Instruct,finetuned,NCSOFT,llama
AIDXteam/ktdsbaseLM-v0.15-onbased-llama3.1,finetuned,AIDXteam,llama
DavidAU/L3-Darker-Planet-12.15B,base,DavidAU,unknown
elyza/ELYZA-Thinking-1.0-Qwen-32B,finetuned,elyza,qwen2
allenai/llama-3-tulu-2-8b,finetuned,allenai,llama
bartowski/allura-org_GLM4-32B-Neon-v2-GGUF,quantized,bartowski,unknown
unsloth/Qwen2.5-Coder-3B-bnb-4bit,quantized,unsloth,qwen2
luvGPT/deepseek-uncensored-lore,base,luvGPT,unknown
tensorblock/gpt4all-falcon-GGUF,quantized,tensorblock,unknown
bartowski/Qwen2.5-Coder-0.5B-Instruct-GGUF,quantized,bartowski,unknown
DebasishDhal99/Llama-3.2-3B-Instruct-LORA-GSM8K-Merged,finetuned,DebasishDhal99,llama
HuggingFaceTB/SmolLM2-1.7B,base,HuggingFaceTB,llama
mradermacher/Qwen2.5-CoderX-7B-v0.5-i1-GGUF,quantized,mradermacher,unknown
openGPT-X/Teuken-7B-base-v0.4,base,openGPT-X,unknown
nvidia/Llama-3_1-Nemotron-51B-Instruct,base,nvidia,nemotron-nas
bartowski/soob3123_GrayLine-Qwen3-14B-GGUF,quantized,bartowski,unknown
MaziyarPanahi/calme-2.7-qwen2-7b,finetuned,MaziyarPanahi,qwen2
yentinglin/Llama-3-Taiwan-8B-Instruct,finetuned,yentinglin,llama
ggml-org/Qwen2.5-Coder-1.5B-Q8_0-GGUF,quantized,ggml-org,unknown
bartowski/granite-3.0-8b-lab-community-GGUF,quantized,bartowski,unknown
empirischtech/DeepSeek-R1-Distill-Llama-70B-gptq-4bit,quantized,empirischtech,llama
bartowski/Nera_Noctis-12B-GGUF,quantized,bartowski,unknown
aisingapore/Llama-SEA-LION-v2-8B-IT,finetuned,aisingapore,llama
unsloth/mistral-7b-instruct-v0.3-bnb-4bit,quantized,unsloth,mistral
Qwen/Qwen2.5-1.5B-Instruct,finetuned,Qwen,qwen2
Qwen/Qwen2-72B-Instruct-GPTQ-Int4,quantized,Qwen,qwen2
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,finetuned,NousResearch,mixtral
Mungert/SWE-agent-LM-32B-GGUF,quantized,Mungert,unknown
tensorblock/Qwen2.5-Math-1.5B-Instruct-GGUF,quantized,tensorblock,unknown
Mozilla/Phi-3-mini-4k-instruct-llamafile,finetuned,Mozilla,unknown
stephenlzc/dolphin-llama3-zh-cn-uncensored,quantized,stephenlzc,llama
mradermacher/yuna-ai-v4-full-i1-GGUF,quantized,mradermacher,unknown
chlee10/T3Q-ko-solar-sft-v2.0,finetuned,chlee10,llama
TheBloke/speechless-code-mistral-7B-v1.0-GGUF,quantized,TheBloke,mistral
second-state/ELYZA-japanese-Llama-2-13b-fast-instruct-GGUF,quantized,second-state,llama
bartowski/Palmyra-Med-70B-32K-GGUF,quantized,bartowski,unknown
karakuri-ai/karakuri-lm-7b-apm-v0.2,finetuned,karakuri-ai,mistral
bartowski/Wayfarer-12B-GGUF,quantized,bartowski,unknown
Qwen/Qwen2.5-Coder-7B-Instruct,finetuned,Qwen,qwen2
ghost-x/ghost-8b-beta,base,ghost-x,unknown
mradermacher/Llama-68M-Chat-v1-i1-GGUF,quantized,mradermacher,unknown
allenai/tulu-2-dpo-13b,finetuned,allenai,llama
TheBloke/Ziya-Coding-34B-v1.0-GGUF,quantized,TheBloke,llama
codellama/CodeLlama-13b-Instruct-hf,base,codellama,unknown
tiiuae/Falcon3-7B-Instruct,finetuned,tiiuae,llama
brittlewis12/Kunoichi-DPO-v2-7B-GGUF,quantized,brittlewis12,unknown
Qwen/Qwen2.5-1.5B-Instruct-GPTQ-Int8,quantized,Qwen,qwen2
uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,base,uukuguy,llama
bartowski/soob3123_amoral-gemma3-12B-v2-GGUF,quantized,bartowski,unknown
Azure99/Blossom-V6-32B,base,Azure99,unknown
seedboxai/KafkaLM-15B-Base,base,seedboxai,unknown
NousResearch/Meta-Llama-3-8B,base,NousResearch,llama
unsloth/phi-4-reasoning-bnb-4bit,quantized,unsloth,phi3
TheBloke/Llama-2-70B-Chat-GGUF,quantized,TheBloke,llama
RefinedNeuro/RN_TR_R2,finetuned,RefinedNeuro,llama
CalamitousFelicitousness/Qwen2.5-72B-Instruct-fp8-dynamic,quantized,CalamitousFelicitousness,qwen2
bartowski/aya-expanse-8b-GGUF,quantized,bartowski,unknown
legraphista/Qwen2.5-14B-Instruct-IMat-GGUF,quantized,legraphista,unknown
Undi95/Llama-3-Unholy-8B,base,Undi95,unknown
bartowski/google_txgemma-27b-chat-GGUF,quantized,bartowski,unknown
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,base,Goekdeniz-Guelmez,unknown
unsloth/Qwen3-32B-unsloth-bnb-4bit,quantized,unsloth,qwen3
froggeric/WestLake-10.7B-v2,base,froggeric,unknown
soob3123/amoral-gemma3-1B-v2-gguf,quantized,soob3123,unknown
second-state/Qwen2.5-Coder-32B-Instruct-GGUF,quantized,second-state,qwen2
Qwen/Qwen2.5-3B-Instruct-GPTQ-Int8,quantized,Qwen,qwen2
MathGenie/MathCoder2-Llama-3-8B,finetuned,MathGenie,llama
TheBloke/Llama-2-13B-chat-AWQ,quantized,TheBloke,llama
sail/Sailor2-8B,finetuned,sail,qwen2
stabilityai/stablelm-3b-4e1t,base,stabilityai,stablelm
Nitral-AI/Nera_Noctis-12B,base,Nitral-AI,unknown
TommyChien/memorag-qwen2-7b-inst,finetuned,TommyChien,qwen2
unsloth/Llama-3.3-70B-Instruct-GGUF,quantized,unsloth,llama
bartowski/Llama-3_1-Nemotron-51B-Instruct-GGUF,quantized,bartowski,unknown
tensorblock/dart-math-llama3-8b-prop2diff-GGUF,quantized,tensorblock,unknown
OpenBuddy/openbuddy-llama2-13b-v11.1-bf16,base,OpenBuddy,llama
lmstudio-community/Mistral-Nemo-Instruct-2407-GGUF,quantized,lmstudio-community,unknown
tensorblock/llama3.2-1b-Uncensored-GGUF,quantized,tensorblock,unknown
clowman/Llama-3.1-8B-Instruct-GPTQ-Int8,quantized,clowman,llama
HiTZ/Latxa-Llama-3.1-70B-Instruct-FP8,quantized,HiTZ,llama
aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.0-Uncensored,base,aifeifei798,unknown
allenai/tulu-2-dpo-7b,finetuned,allenai,llama
PygmalionAI/pygmalion-2-7b,base,PygmalionAI,llama
EIRTHAIMED/Llama-3.1-EIRAI-8B,finetuned,EIRTHAIMED,llama
bartowski/Dans-PersonalityEngine-V1.1.0-12b-GGUF,quantized,bartowski,unknown
DavidAU/MN-GRAND-Gutenberg-Lyra4-Lyra-23B-V2-GGUF,quantized,DavidAU,unknown
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,base,EVA-UNIT-01,unknown
MaziyarPanahi/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1,base,MaziyarPanahi,mistral
Qwen/Qwen2.5-3B,base,Qwen,qwen2
lmstudio-community/Qwen2.5-Coder-14B-Instruct-GGUF,quantized,lmstudio-community,unknown
Tesslate/Tessa-T1-32B,base,Tesslate,unknown
QuantFactory/Llama-Sentient-3.2-3B-Instruct-GGUF,quantized,QuantFactory,unknown
bartowski/Llama-3-8B-Instruct-Coder-v2-GGUF,quantized,bartowski,unknown
bartowski/FastApply-7B-v1.0-GGUF,quantized,bartowski,unknown
soob3123/amoral-gemma3-12B-v2-qat-Q4_0-GGUF,quantized,soob3123,unknown
TheBloke/SauerkrautLM-7B-v1-GGUF,quantized,TheBloke,llama
DavidAU/LLama-3.1-128k-Darkest-Planet-Uncensored-16.5B-GGUF,quantized,DavidAU,unknown
CohereLabs/aya-expanse-8b,base,CohereLabs,cohere
instruction-pretrain/InstructLM-1.3B,base,instruction-pretrain,unknown
THUDM/GLM-Z1-Rumination-32B-0414,base,THUDM,glm4
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,finetuned,Menlo,llama
DavidAU/L3.2-8X4B-MOE-V2-Dark-Champion-Inst-21B-uncen-ablit,base,DavidAU,unknown
Mungert/Llama-3.1-Nemotron-Nano-4B-v1.1-GGUF,quantized,Mungert,unknown
fluently-lm/FluentlyLM-Prinum-Q4_K_M-GGUF,quantized,fluently-lm,unknown
bartowski/Dans-DangerousWinds-V1.1.0-12b-GGUF,quantized,bartowski,unknown
MaziyarPanahi/tulu-2-dpo-13b-GGUF,quantized,MaziyarPanahi,mistral
unsloth/SmolLM-1.7B-bnb-4bit,quantized,unsloth,llama
tensorblock/uukuguy_speechless-codellama-orca-airoboros-13b-0.10e-GGUF,quantized,tensorblock,unknown
mlx-community/GLM-4-32B-0414-4bit-DWQ,quantized,mlx-community,glm4
unsloth/Qwen3-30B-A3B-128K-GGUF,quantized,unsloth,qwen3_moe
Qwen/Qwen2.5-Coder-0.5B-Instruct,finetuned,Qwen,qwen2
TheBloke/OpenOrca-Platypus2-13B-GGUF,quantized,TheBloke,llama
bartowski/ilsp_Llama-Krikri-8B-Instruct-GGUF,quantized,bartowski,unknown
Qwen/Qwen2.5-Coder-3B-Instruct-AWQ,quantized,Qwen,qwen2
unsloth/DeepSeek-R1-BF16,finetuned,unsloth,deepseek_v3
clowman/QwQ-32B-GPTQ-Int4,quantized,clowman,qwen2
rinna/youri-7b-chat,finetuned,rinna,llama
PocketDoc/Dans-PersonalityEngine-V1.3.0-24b,finetuned,PocketDoc,mistral
bartowski/Pantheon-RP-1.6.2-22b-Small-GGUF,quantized,bartowski,unknown
MaziyarPanahi/calme-2.1-phi3.5-4b,finetuned,MaziyarPanahi,phi3
kaist-ai/mpa-Mistral-7b-v0.2-hf-sft-66k,base,kaist-ai,unknown
TomGrc/FusionNet_34Bx2_MoE,base,TomGrc,unknown
INTERX/Qwen2.5-GenX-7B,finetuned,INTERX,qwen2
sarvamai/sarvam-1,base,sarvamai,llama
Cran-May/NQLSG-Qwen2.5-14B-MegaFusion-v5-roleplay-duplicate,base,Cran-May,unknown
unsloth/Qwen2.5-Coder-3B-Instruct-bnb-4bit,quantized,unsloth,qwen2
uukuguy/speechless-code-mistral-7b-v1.0,base,uukuguy,mistral
DavidAU/Llama-3.1-1million-ctx-Dark-Planet-8B,base,DavidAU,unknown
atharvanighot/Hindi-Llama-1,finetuned,atharvanighot,llama
prithivMLmods/Evac-Opus-14B-Exp,finetuned,prithivMLmods,qwen2
albertfares/DPO_MCQA_model_3_06_04_08,finetuned,albertfares,qwen3
RedHatAI/granite-3.1-8b-base-quantized.w8a8,quantized,RedHatAI,granite
QuantFactory/Qwen2.5-Math-1.5B-Instruct-GGUF,quantized,QuantFactory,unknown
casperhansen/llama-3.3-70b-instruct-awq,quantized,casperhansen,llama
mav23/Qwen2.5-7B-Instruct-Uncensored-GGUF,quantized,mav23,unknown
openfree/Llama-3_3-Nemotron-Super-49B-v1-Q6_K-GGUF,quantized,openfree,unknown
ChaoticNeutrals/Hathor_Tahsin-L3-8B-v0.9,base,ChaoticNeutrals,unknown
Mawdistical/Squelching-Fantasies-glm-32B,base,Mawdistical,unknown
HuggingFaceH4/mistral-7b-sft-beta,finetuned,HuggingFaceH4,mistral
yentinglin/Mistral-Small-24B-Instruct-2501-reasoning,finetuned,yentinglin,mistral
bartowski/OpenCoder-8B-Instruct-GGUF,quantized,bartowski,unknown
bartowski/Qwen2.5-Coder-7B-Instruct-GGUF,quantized,bartowski,unknown
Koutouzov1973/Llama_3.2_3B_Instruct_4bit_Distill_Situation_Generale_2_Avril,quantized,Koutouzov1973,llama
CompassioninMachineLearning/10kalpaca_plus_llama31_8bInstruct,base,CompassioninMachineLearning,llama
ggml-org/Meta-Llama-3.1-8B-Instruct-Q4_0-GGUF,quantized,ggml-org,unknown
mlx-community/phi-2,finetuned,mlx-community,phi-msft
mlx-community/Qwen2.5-Math-7B-Instruct-4bit,quantized,mlx-community,qwen2
Ar4ikov/gpt2-650k-stable-diffusion-prompt-generator,base,Ar4ikov,gpt2
second-state/OpenHermes-2.5-Mistral-7B-GGUF,quantized,second-state,mistral
Qwen/Qwen2-1.5B-Instruct-GPTQ-Int4,quantized,Qwen,qwen2
bartowski/Llama3.1-8B-Enigma-GGUF,quantized,bartowski,unknown
bartowski/Linkbricks-Horizon-AI-Japanese-Pro-V3-70B-GGUF,quantized,bartowski,unknown
hugging-quants/Llama-3.2-3B-Instruct-Q8_0-GGUF,quantized,hugging-quants,unknown
bartowski/Crimson_Dawn-V0.1-GGUF,quantized,bartowski,unknown
yannelli/Laravel-11-Llama-3.2-1B-Instruct-GGUF,quantized,yannelli,llama
cyberagent/Mistral-Nemo-Japanese-Instruct-2408,finetuned,cyberagent,mistral
mlx-community/Qwen2.5-Coder-14B-Instruct-4bit,quantized,mlx-community,qwen2
Ramikan-BR/tinyllama-coder-py-v11,quantized,Ramikan-BR,llama
ReadyArt/The-Omega-Directive-Qwen3-14B-v1.1,finetuned,ReadyArt,qwen3
PleIAs/Pleias-RAG-350M,finetuned,PleIAs,llama
rdhawk/TR_TaskSpesificLM,finetuned,rdhawk,unknown
allenai/OLMo-2-0425-1B-DPO,finetuned,allenai,olmo2
Clevyby/Mythomax-L2-13b-Q4_K_M-GGUF,quantized,Clevyby,llama
mistralai/Mistral-Small-24B-Base-2501,base,mistralai,mistral
lmstudio-community/Phi-4-mini-reasoning-GGUF,quantized,lmstudio-community,unknown
RedHatAI/Llama-3.2-11B-Vision-Instruct-FP8-dynamic,quantized,RedHatAI,mllama
RedHatAI/Llama-3.2-90B-Vision-Instruct-FP8-dynamic,quantized,RedHatAI,mllama
TheBloke/leo-hessianai-7B-chat-GGUF,quantized,TheBloke,llama
maxidl/Llama-OpenReviewer-8B,finetuned,maxidl,llama
bartowski/Sao10K_Llama-3.3-70B-Vulpecula-r1-GGUF,quantized,bartowski,unknown
bartowski/HuatuoGPT-o1-8B-GGUF,quantized,bartowski,unknown
amd/Qwen1.5-7B-Chat-awq-g128-int4-asym-fp16-onnx-hybrid,quantized,amd,unknown
mradermacher/Phi-4-bifrost-sol-3.8B-i1-GGUF,quantized,mradermacher,unknown
MaziyarPanahi/Meta-Llama-3-8B-Instruct-GGUF,quantized,MaziyarPanahi,mistral
hkust-nlp/dart-math-llama3-8b-prop2diff,finetuned,hkust-nlp,llama
Qwen/Qwen2-Math-1.5B-Instruct,base,Qwen,qwen2
bartowski/L3.3-70B-Magnum-v4-SE-GGUF,quantized,bartowski,unknown
lmstudio-community/SmolLM2-135M-Instruct-GGUF,quantized,lmstudio-community,unknown
Tower-Babel/Babel-83B-Chat,base,Tower-Babel,unknown
meta-llama/Meta-Llama-3-8B,base,meta-llama,llama
facebook/layerskip-llama3-8B,finetuned,facebook,llama
bartowski/nvidia_OpenMath-Nemotron-7B-GGUF,quantized,bartowski,unknown
QuantFactory/Qwen2.5-Math-7B-GGUF,quantized,QuantFactory,unknown
second-state/Qwen3-4B-GGUF,quantized,second-state,qwen3
Gryphe/Pantheon-RP-1.6-12b-Nemo-KTO,base,Gryphe,unknown
unsloth/Qwen2.5-3B-Instruct,finetuned,unsloth,qwen2
HuggingFaceH4/zephyr-7b-gemma-sft-v0.1,finetuned,HuggingFaceH4,gemma
Magpie-Align/Llama-3-8B-Magpie-Align-v0.3,finetuned,Magpie-Align,llama
ReadyArt/The-Omega-Directive-M-24B-v1.1,base,ReadyArt,unknown
ResplendentAI/SOVL_Llama3_8B,base,ResplendentAI,unknown
OpenMeditron/Meditron3-Gemma2-2B,finetuned,OpenMeditron,gemma2
Mungert/Llama-3.1-70B-Instruct-GGUF,quantized,Mungert,unknown
meta-llama/Llama-2-70b,base,meta-llama,unknown
backyardai/DarkSapling-7B-v2.0-GGUF,quantized,backyardai,unknown
CausalLM/7B-DPO-alpha,base,CausalLM,llama
microsoft/Phi-4-reasoning,finetuned,microsoft,phi3
Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int8,quantized,Qwen,qwen2
tensorblock/JungZoona_T3Q-qwen2.5-14b-v1.0-e3-GGUF,quantized,tensorblock,unknown
dreamgen/opus-v0-7b,base,dreamgen,unknown
LGAI-EXAONE/EXAONE-Deep-2.4B,finetuned,LGAI-EXAONE,exaone
bartowski/open-r1_OlympicCoder-7B-GGUF,quantized,bartowski,unknown
winninghealth/WiNGPT-Babel,quantized,winninghealth,qwen2
mlx-community/Devstral-Small-2505-4bit-DWQ,quantized,mlx-community,mistral
DavidAU/Gemma-The-Writer-DEADLINE-10B,base,DavidAU,unknown
mradermacher/Ministral-Instruct-2410-8B-DPO-RP-GGUF,quantized,mradermacher,unknown
unsloth/gemma-3-1b-it,finetuned,unsloth,gemma3_text
Groq/Llama-3-Groq-70B-Tool-Use,finetuned,Groq,llama
DavidAU/L3.1-MOE-8X8B-Dark-Planet-8D-Mirrored-Chaos-Uncensored-47B,base,DavidAU,unknown
aisingapore/Llama-SEA-LION-v2-8B,base,aisingapore,unknown
bartowski/Llama-3.1-Nemotron-70B-Instruct-HF-GGUF,quantized,bartowski,unknown
abacusai/Smaug-Llama-3-70B-Instruct,base,abacusai,unknown
Hinglish-Project/llama-3-8b-English-to-Hinglish,quantized,Hinglish-Project,llama
eci-io/climategpt-70b,finetuned,eci-io,llama
DavidAU/Llama-3-Stheno-Maid-Blackroot-Grand-HORROR-16B,base,DavidAU,unknown
TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ,quantized,TheBloke,llama
flowaicom/Flow-Judge-v0.1,finetuned,flowaicom,phi3
meta-llama/Meta-Llama-Guard-2-8B,base,meta-llama,llama
Qwen/Qwen2.5-3B-Instruct,finetuned,Qwen,qwen2
AdaptLLM/medicine-LLM-13B,base,AdaptLLM,llama
Hastagaras/Llama-3.1-Jamet-8B-MK.I,base,Hastagaras,unknown
Writer/Palmyra-Fin-70B-32K,base,Writer,unknown
Qwen/Qwen2-7B-Instruct,finetuned,Qwen,qwen2
unsloth/phi-4,finetuned,unsloth,llama
unsloth/gemma-3-1b-pt-bnb-4bit,quantized,unsloth,gemma3_text
rinna/bilingual-gpt-neox-4b,base,rinna,gpt_neox
AtlaAI/Selene-1-Mini-Llama-3.1-8B,finetuned,AtlaAI,llama
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,finetuned,MaziyarPanahi,llama
lmstudio-community/Nemotron-Research-Reasoning-Qwen-1.5B-GGUF,quantized,lmstudio-community,unknown
all-hands/openhands-lm-32b-v0.1-ep3,finetuned,all-hands,qwen2
Mungert/Qwen2.5-14B-Instruct-1M-GGUF,quantized,Mungert,unknown
EpistemeAI/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math-KTO-beta,finetuned,EpistemeAI,llama
TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,base,TheBloke,unknown
huihui-ai/Llama-3.3-70B-Instruct-abliterated,finetuned,huihui-ai,llama
Mawdistical/Squelching-Fantasies-qw3-32B-GGUF,quantized,Mawdistical,unknown
soob3123/amoral-gemma3-4B-v2-qat-Q4_0-GGUF,quantized,soob3123,unknown
Lukamac/PlayPart-AI-Personal-Trainer,finetuned,Lukamac,gpt2
bartowski/smirki_UIGEN-T1.1-Qwen-14B-GGUF,quantized,bartowski,unknown
sethuiyer/Dr_Samantha-7b,base,sethuiyer,unknown
mlabonne/NeuralMonarch-7B,finetuned,mlabonne,mistral
tybrs/llama-guard-quant,quantized,tybrs,llama
FreedomIntelligence/HuatuoGPT-o1-7B,finetuned,FreedomIntelligence,unknown
allenai/OLMo-2-1124-13B-SFT,finetuned,allenai,olmo2
second-state/Llama-3-Groq-8B-Tool-Use-GGUF,quantized,second-state,llama
TheBloke/DaringMaid-20B-GGUF,quantized,TheBloke,llama
ClaMncDexter/gemma-3-1b-it-unsloth-bnb-4bit-float16,finetuned,ClaMncDexter,gemma3_text
