source,target,edge
Qwen/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,quantized
Qwen/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,finetuned
Qwen/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct-unsloth-bnb-4bit,quantized
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-0.5B-Instruct,ReDiX/Qwen2.5-0.5B-Instruct-ITA,finetuned
Qwen/Qwen2.5-0.5B-Instruct,lmstudio-community/Qwen2.5-0.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-0.5B-Instruct,bartowski/Qwen2.5-0.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct-GPTQ-Int4,quantized
Qwen/Qwen2.5-0.5B-Instruct,lmstudio-community/Qwen2.5-0.5B-Instruct-MLX-4bit,quantized
Qwen/Qwen2.5-0.5B-Instruct,RedHatAI/Qwen2.5-0.5B-Instruct-quantized.w8a8,quantized
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct-GPTQ-Int8,quantized
Qwen/Qwen2.5-0.5B-Instruct,Vikhrmodels/Vikhr-Qwen-2.5-0.5b-Instruct,finetuned
Qwen/Qwen2.5-0.5B-Instruct,lightblue/lb-reranker-0.5B-v1.0,finetuned
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct-AWQ,quantized
Qwen/Qwen2.5-0.5B-Instruct,legraphista/Qwen2.5-0.5B-Instruct-IMat-GGUF,quantized
Qwen/Qwen2.5-0.5B-Instruct,Ihor/Text2Graph-R1-Qwen2.5-0.5b,finetuned
Qwen/Qwen2.5-0.5B-Instruct,prithivMLmods/FastThink-0.5B-Tiny,quantized
Qwen/Qwen2.5-0.5B-Instruct,second-state/Qwen2.5-0.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-0.5B-Instruct,nicolay-r/qwen25-05b-multiclinsum-distil,finetuned
infly/OpenCoder-8B-Instruct,bartowski/OpenCoder-8B-Instruct-GGUF,quantized
abhinand/gemma-2b-tamil,abhinand/gemma-2b-it-tamil-v0.1-alpha,finetuned
LingoIITGN/ganga-1b,LingoIITGN/Ganga-2-1B,finetuned
01-ai/Yi-34B,NousResearch/Nous-Hermes-2-Yi-34B,finetuned
Locutusque/TinyMistral-248M,Felladrin/TinyMistral-248M-Chat-v4,finetuned
Locutusque/TinyMistral-248M,afrideva/TinyMistral-248M-GGUF,quantized
Mawdistical/Squelching-Fantasies-qw3-32B,Mawdistical/Squelching-Fantasies-qw3-32B-GGUF,quantized
unsloth/Qwen3-0.6B-Base,andresnowak/Qwen3-0.6B-instruction-finetuned,finetuned
cognitivecomputations/dolphin-2.9-llama3-8b,stephenlzc/dolphin-llama3-zh-cn-uncensored,quantized
Goekdeniz-Guelmez/Josiefied-Qwen2.5-14B-Instruct-abliterated-v4,Goekdeniz-Guelmez/Josiefied-Qwen2.5-14B-Instruct-abliterated-v4-gguf,quantized
Novaciano/SENTIMENTAL_SEX-3.2-1B,Novaciano/EMO_SEX_V2-3.2-1B,merged
ethzanalytics/ai-msgbot-gpt2-XL-dialogue,mradermacher/ai-msgbot-gpt2-XL-dialogue-i1-GGUF,quantized
aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored,bartowski/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF,quantized
aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored,tensorblock/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF,quantized
rednote-hilab/dots.llm1.base,rednote-hilab/dots.llm1.inst,finetuned
medalpaca/medalpaca-13b,TheBloke/medalpaca-13B-GGUF,quantized
allura-org/Qwen2.5-32b-RP-Ink,bartowski/Qwen2.5-32b-RP-Ink-GGUF,quantized
UCLA-AGI/Gemma-2-9B-It-SPPO-Iter3,bartowski/Gemma-2-9B-It-SPPO-Iter3-GGUF,quantized
PatronusAI/Llama-3-Patronus-Lynx-70B-Instruct,mradermacher/Llama-3-Patronus-Lynx-70B-Instruct-GGUF,quantized
phamhai/Llama-3.2-1B-CyberFrog,Novaciano/SEX_ROLEPLAY-3.2-1B,merged
phamhai/Llama-3.2-1B-CyberFrog,Novaciano/SEX_ROLEPLAY-3.2-1B-Q4_K_M-GGUF,merged
Salesforce/xLAM-8x7b-r,legraphista/xLAM-8x7b-r-IMat-GGUF,quantized
Salesforce/xLAM-8x7b-r,bartowski/xLAM-8x7b-r-GGUF,quantized
NovaSky-AI/Sky-T1-32B-Flash,bartowski/Sky-T1-32B-Flash-GGUF,quantized
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ,quantized
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TheBloke/TinyLlama-1.1B-Chat-v1.0-AWQ,quantized
TinyLlama/TinyLlama-1.1B-Chat-v1.0,s3nh/TinyLLama-4x1.1B-MoE,merged
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lambdaindie/lambda-1v-1B,finetuned
mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,Locutusque/Thespis-Llama-3.1-8B,finetuned
Nitral-AI/Captain_BMO-12B,Nitral-AI/Captain-Eris_Violet-V0.420-12B,merged
Nitral-AI/Captain_BMO-12B,bartowski/Captain_BMO-12B-GGUF,quantized
nvidia/Llama-3.1-8B-UltraLong-1M-Instruct,bartowski/nvidia_Llama-3.1-8B-UltraLong-1M-Instruct-GGUF,quantized
DavidAU/L3-Darker-Planet-12.15B,DavidAU/L3-Darker-Planet-12.15B-GGUF,quantized
luvGPT/deepseek-uncensored-lore,mradermacher/deepseek-uncensored-lore-i1-GGUF,quantized
luvGPT/deepseek-uncensored-lore,mradermacher/deepseek-uncensored-lore-GGUF,quantized
HuggingFaceTB/SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,quantized
HuggingFaceTB/SmolLM2-1.7B,unsloth/SmolLM2-1.7B,finetuned
openGPT-X/Teuken-7B-base-v0.4,openGPT-X/Teuken-7B-instruct-commercial-v0.4,finetuned
openGPT-X/Teuken-7B-base-v0.4,openGPT-X/Teuken-7B-instruct-research-v0.4,finetuned
openGPT-X/Teuken-7B-base-v0.4,QuantFactory/Teuken-7B-instruct-research-v0.4-GGUF,quantized
nvidia/Llama-3_1-Nemotron-51B-Instruct,bartowski/Llama-3_1-Nemotron-51B-Instruct-GGUF,quantized
unsloth/mistral-7b-instruct-v0.3-bnb-4bit,theprint/ReWiz-7B,quantized
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,quantized
Qwen/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,finetuned
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct-AWQ,quantized
Qwen/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,quantized
Qwen/Qwen2.5-1.5B-Instruct,Vikhrmodels/Vikhr-Qwen-2.5-1.5B-Instruct,finetuned
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct-GPTQ-Int4,quantized
Qwen/Qwen2.5-1.5B-Instruct,lmstudio-community/Qwen2.5-1.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-1.5B-Instruct,jaeyong2/Qwen2.5-1.5B-Instruct-Viet-SFT,finetuned
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct-GPTQ-Int8,quantized
Qwen/Qwen2.5-1.5B-Instruct,bartowski/Qwen2.5-1.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-1.5B-Instruct,second-state/Qwen2.5-1.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-1.5B-Instruct,legraphista/Qwen2.5-1.5B-Instruct-IMat-GGUF,quantized
Qwen/Qwen2.5-1.5B-Instruct,lmms-lab/Aero-1-Audio,finetuned
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,TheBloke/Nous-Hermes-2-Mixtral-8x7B-DPO-GPTQ,quantized
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,second-state/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF,quantized
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,Saxo/Linkbricks-Horizon-AI-Korean-Mixtral-sft-dpo-8x7b,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,unsloth/Qwen2.5-Coder-7B-Instruct,finetuned
Qwen/Qwen2.5-Coder-7B-Instruct,bartowski/Qwen2.5.1-Coder-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,lmstudio-community/Qwen2.5-Coder-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,AI-MO/Kimina-Autoformalizer-7B,finetuned
Qwen/Qwen2.5-Coder-7B-Instruct,bartowski/Qwen2.5-Coder-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,all-hands/openhands-lm-7b-v0.1,finetuned
Qwen/Qwen2.5-Coder-7B-Instruct,lmstudio-community/Qwen2.5-Coder-7B-Instruct-MLX-4bit,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,open-r1/OlympicCoder-7B,finetuned
Qwen/Qwen2.5-Coder-7B-Instruct,Tesslate/UIGEN-T2-7B,adapter
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int8,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,CISCai/Qwen2.5-Coder-7B-Instruct-SOTA-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,Tesslate/Tessa-Rust-T1-7B,finetuned
Qwen/Qwen2.5-Coder-7B-Instruct,Mungert/openhands-lm-7b-v0.1-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,lmstudio-community/Qwen2.5-Coder-7B-Instruct-MLX-8bit,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,second-state/Qwen2.5-Coder-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,gaianet/Qwen2.5-Coder-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,legraphista/Qwen2.5-Coder-7B-Instruct-IMat-GGUF,quantized
Qwen/Qwen2.5-Coder-7B-Instruct,Mungert/OlympicCoder-7B-GGUF,quantized
ghost-x/ghost-8b-beta,ghost-x/ghost-8b-beta-1608,finetuned
ghost-x/ghost-8b-beta,teddylee777/ghost-8b-beta-1608-gguf,quantized
allenai/tulu-2-dpo-13b,MaziyarPanahi/tulu-2-dpo-13b-GGUF,quantized
codellama/CodeLlama-13b-Instruct-hf,rasa/cmd_gen_codellama_13b_calm_demo,finetuned
tiiuae/Falcon3-7B-Instruct,bartowski/Falcon3-7B-Instruct-GGUF,quantized
tiiuae/Falcon3-7B-Instruct,ehristoforu/Falcon3-MoE-2x7B-Insruct,finetuned
tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Instruct-GGUF,quantized
uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,TheBloke/Speechless-Llama2-Hermes-Orca-Platypus-WizardLM-13B-GGUF,quantized
Azure99/Blossom-V6-32B,YOYO-AI/Qwen2.5-32B-YOYO-V2,merged
seedboxai/KafkaLM-15B-Base,seedboxai/KafkaLM-15B,finetuned
NousResearch/Meta-Llama-3-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,finetuned
NousResearch/Meta-Llama-3-8B,OpenPipe/Hermes-2-Pro-Llama-3-8B-32k,finetuned
NousResearch/Meta-Llama-3-8B,bartowski/Hermes-2-Pro-Llama-3-8B-GGUF,quantized
Undi95/Llama-3-Unholy-8B,sethuiyer/Medichat-Llama3-8B,merged
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,mlx-community/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-4bit,quantized
froggeric/WestLake-10.7B-v2,backyardai/WestLake-10.7B-v2-GGUF,quantized
sail/Sailor2-8B,sail/Sailor2-8B-Chat,finetuned
sail/Sailor2-8B,sail/Sailor2-8B-SFT,finetuned
stabilityai/stablelm-3b-4e1t,afrideva/stablelm-3b-4e1t-GGUF,quantized
Nitral-AI/Nera_Noctis-12B,bartowski/Nera_Noctis-12B-GGUF,quantized
OpenBuddy/openbuddy-llama2-13b-v11.1-bf16,TheBloke/OpenBuddy-Llama2-13B-v11.1-GGUF,quantized
aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.0-Uncensored,bartowski/DarkIdol-Llama-3.1-8B-Instruct-1.0-Uncensored-GGUF,quantized
PygmalionAI/pygmalion-2-7b,TheBloke/Pygmalion-2-7B-GGUF,quantized
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,Black-Ink-Guild/Pernicious_Prophecy_70B,merged
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,sophosympatheia/Nova-Tempus-70B-v0.1,merged
MaziyarPanahi/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1,tensorblock/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1-GGUF,quantized
MaziyarPanahi/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1,mradermacher/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1-GGUF,quantized
MaziyarPanahi/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1,MaziyarPanahi/NSFW_DPO_Noromaid-7b-Mistral-7B-Instruct-v0.1-GGUF,quantized
Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,finetuned
Qwen/Qwen2.5-3B,ehristoforu/coolqwen-3b-it,finetuned
Qwen/Qwen2.5-3B,Qwen/Qwen2.5-Coder-3B,finetuned
Qwen/Qwen2.5-3B,MaziyarPanahi/calme-3.1-instruct-3b,finetuned
Qwen/Qwen2.5-3B,MaziyarPanahi/calme-3.2-instruct-3b,finetuned
Qwen/Qwen2.5-3B,MaziyarPanahi/calme-3.2-baguette-3b,finetuned
Qwen/Qwen2.5-3B,MaziyarPanahi/calme-3.1-qwenloi-3b,finetuned
Qwen/Qwen2.5-3B,MaziyarPanahi/calme-3.1-baguette-3b,finetuned
Qwen/Qwen2.5-3B,mlx-community/Qwen2.5-3B-Instruct-4bit,finetuned
Qwen/Qwen2.5-3B,sunblaze-ucb/Qwen2.5-3B-Intuitor-MATH-1EPOCH,finetuned
Qwen/Qwen2.5-3B,UBC-NLP/NileChat-3B,finetuned
Qwen/Qwen2.5-3B,Mungert/Qwen2.5-3B-Instruct-GGUF,quantized
Tesslate/Tessa-T1-32B,bartowski/Tesslate_Tessa-T1-32B-GGUF,quantized
CohereLabs/aya-expanse-8b,bartowski/aya-expanse-8b-GGUF,quantized
CohereLabs/aya-expanse-8b,huihui-ai/aya-expanse-8b-abliterated,finetuned
CohereLabs/aya-expanse-8b,lenML/aya-expanse-8b-abliterated,finetuned
instruction-pretrain/InstructLM-1.3B,QuantFactory/InstructLM-1.3B-GGUF,quantized
THUDM/GLM-Z1-Rumination-32B-0414,bartowski/THUDM_GLM-Z1-Rumination-32B-0414-GGUF,quantized
THUDM/GLM-Z1-Rumination-32B-0414,lmstudio-community/GLM-Z1-Rumination-32B-0414-GGUF,quantized
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,mlx-community/ReZero-v0.1-llama-3.2-3b-it-grpo-250404-4bit,quantized
DavidAU/L3.2-8X4B-MOE-V2-Dark-Champion-Inst-21B-uncen-ablit,DavidAU/Llama-3.2-8X4B-MOE-V2-Dark-Champion-Instruct-uncensored-abliterated-21B-GGUF,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,unsloth/Qwen2.5-Coder-0.5B-Instruct-bnb-4bit,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,unsloth/Qwen2.5-Coder-0.5B-Instruct,finetuned
Qwen/Qwen2.5-Coder-0.5B-Instruct,mlx-community/Qwen2.5-Coder-0.5B-Instruct-4bit,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,gaianet/Qwen2.5-Coder-0.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct-AWQ,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,bartowski/Qwen2.5-Coder-0.5B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct-GPTQ-Int8,quantized
Qwen/Qwen2.5-Coder-0.5B-Instruct,lmstudio-community/Qwen2.5-Coder-0.5B-Instruct-GGUF,quantized
PocketDoc/Dans-PersonalityEngine-V1.3.0-24b,bartowski/PocketDoc_Dans-PersonalityEngine-V1.3.0-24b-GGUF,quantized
PocketDoc/Dans-PersonalityEngine-V1.3.0-24b,King-Cane/Dans-PersonalityEngine-V1.3.0-24b-Q4_K_M-GGUF,quantized
kaist-ai/mpa-Mistral-7b-v0.2-hf-sft-66k,kaist-ai/janus-dpo-7b,finetuned
TomGrc/FusionNet_34Bx2_MoE,TheBloke/FusionNet_34Bx2_MoE-GGUF,quantized
sarvamai/sarvam-1,hathibelagal/samastam-it-v1,finetuned
sarvamai/sarvam-1,bartowski/sarvam-1-GGUF,quantized
Cran-May/NQLSG-Qwen2.5-14B-MegaFusion-v5-roleplay-duplicate,bartowski/Cran-May_NQLSG-Qwen2.5-14B-MegaFusion-v5-roleplay-duplicate-GGUF,quantized
uukuguy/speechless-code-mistral-7b-v1.0,TheBloke/speechless-code-mistral-7B-v1.0-GGUF,quantized
DavidAU/Llama-3.1-1million-ctx-Dark-Planet-8B,DavidAU/Llama-3.1-1-million-cxt-Dark-Planet-8B-GGUF,quantized
ChaoticNeutrals/Hathor_Tahsin-L3-8B-v0.9,bartowski/Hathor_Tahsin-L3-8B-v0.9-GGUF,quantized
Mawdistical/Squelching-Fantasies-glm-32B,Mawdistical/Squelching-Fantasies-glm-32B-GGUF,quantized
yentinglin/Mistral-Small-24B-Instruct-2501-reasoning,brittlewis12/Mistral-Small-24B-Instruct-2501-reasoning-GGUF,quantized
CompassioninMachineLearning/10kalpaca_plus_llama31_8bInstruct,CompassioninMachineLearning/alpacallama_plus1k_80_20mix,finetuned
Ar4ikov/gpt2-650k-stable-diffusion-prompt-generator,tensorblock/gpt2-650k-stable-diffusion-prompt-generator-GGUF,quantized
allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B-RLVR1,finetuned
mistralai/Mistral-Small-24B-Base-2501,mistralai/Mistral-Small-24B-Instruct-2501,finetuned
mistralai/Mistral-Small-24B-Base-2501,NousResearch/DeepHermes-3-Mistral-24B-Preview,finetuned
mistralai/Mistral-Small-24B-Base-2501,cognitivecomputations/Dolphin3.0-R1-Mistral-24B,finetuned
mistralai/Mistral-Small-24B-Base-2501,unsloth/Mistral-Small-24B-Base-2501-unsloth-bnb-4bit,quantized
mistralai/Mistral-Small-24B-Base-2501,cognitivecomputations/Dolphin3.0-Mistral-24B,finetuned
mistralai/Mistral-Small-24B-Base-2501,unsloth/Mistral-Small-24B-Base-2501-bnb-4bit,quantized
mistralai/Mistral-Small-24B-Base-2501,PocketDoc/Dans-PersonalityEngine-V1.2.0-24b,finetuned
mistralai/Mistral-Small-24B-Base-2501,bartowski/mistralai_Mistral-Small-24B-Base-2501-GGUF,quantized
hkust-nlp/dart-math-llama3-8b-prop2diff,tensorblock/dart-math-llama3-8b-prop2diff-GGUF,quantized
Qwen/Qwen2-Math-1.5B-Instruct,legraphista/Qwen2-Math-1.5B-Instruct-IMat-GGUF,quantized
Qwen/Qwen2-Math-1.5B-Instruct,lmstudio-community/Qwen2-Math-1.5B-Instruct-GGUF,quantized
Qwen/Qwen2-Math-1.5B-Instruct,bartowski/Qwen2-Math-1.5B-Instruct-GGUF,quantized
Tower-Babel/Babel-83B-Chat,bartowski/Tower-Babel_Babel-83B-Chat-GGUF,quantized
meta-llama/Meta-Llama-3-8B,unsloth/llama-3-8b-bnb-4bit,quantized
meta-llama/Meta-Llama-3-8B,MLP-KTLim/llama-3-Korean-Bllossom-8B,finetuned
meta-llama/Meta-Llama-3-8B,aaditya/Llama3-OpenBioLLM-8B,finetuned
meta-llama/Meta-Llama-3-8B,DeepMount00/Llama-3-8b-Ita,finetuned
meta-llama/Meta-Llama-3-8B,Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.3,finetuned
meta-llama/Meta-Llama-3-8B,dfurman/Llama-3-8B-Orpo-v0.1,finetuned
meta-llama/Meta-Llama-3-8B,Weyaxi/Einstein-v6.1-Llama3-8B,finetuned
meta-llama/Meta-Llama-3-8B,ruslanmv/Medical-Llama3-8B,finetuned
meta-llama/Meta-Llama-3-8B,QuantFactory/Meta-Llama-3-8B-GGUF,quantized
meta-llama/Meta-Llama-3-8B,12thD/ko-Llama-3-8B-sft-v0.1,finetuned
meta-llama/Meta-Llama-3-8B,12thD/ko-Llama-3-8B-sft-v0.3,finetuned
meta-llama/Meta-Llama-3-8B,ihopper/ko-Llama-3-8B-Instruct-sft-v1.0,finetuned
meta-llama/Meta-Llama-3-8B,rinna/llama-3-youko-8b,finetuned
meta-llama/Meta-Llama-3-8B,Groq/Llama-3-Groq-8B-Tool-Use,finetuned
meta-llama/Meta-Llama-3-8B,second-state/FinGPT-MT-Llama-3-8B-LoRA-GGUF,quantized
meta-llama/Meta-Llama-3-8B,rinna/llama-3-youko-8b-instruct,merged
meta-llama/Meta-Llama-3-8B,yodayo-ai/nephra_v1.0,finetuned
meta-llama/Meta-Llama-3-8B,allenai/llama-3-tulu-2-8b,finetuned
meta-llama/Meta-Llama-3-8B,MathGenie/MathCoder2-Llama-3-8B,finetuned
meta-llama/Meta-Llama-3-8B,PKU-ONELab/Themis,finetuned
meta-llama/Meta-Llama-3-8B,hkust-nlp/dart-math-llama3-8b-prop2diff,finetuned
meta-llama/Meta-Llama-3-8B,facebook/layerskip-llama3-8B,finetuned
meta-llama/Meta-Llama-3-8B,bartowski/Einstein-v6.1-Llama3-8B-GGUF,quantized
meta-llama/Meta-Llama-3-8B,bartowski/Pantheon-RP-1.0-8b-Llama-3-GGUF,quantized
meta-llama/Meta-Llama-3-8B,bartowski/OpenBioLLM-Llama3-8B-GGUF,quantized
meta-llama/Meta-Llama-3-8B,hfl/llama-3-chinese-8b,finetuned
Gryphe/Pantheon-RP-1.6-12b-Nemo-KTO,bartowski/Pantheon-RP-1.6-12b-Nemo-KTO-GGUF,quantized
unsloth/Qwen2.5-3B-Instruct,JIAN-PENG/LLM_Beyond_Base_Model_qwen2.5_3b_v2,finetuned
unsloth/Qwen2.5-3B-Instruct,duchao1210/qwen_2.5_sft_1k_r16,finetuned
unsloth/Qwen2.5-3B-Instruct,tech4humans/Qwen2.5-3B-Instruct-lora-r16-alpha16-dp0.2-rslora,finetuned
ReadyArt/The-Omega-Directive-M-24B-v1.1,ReadyArt/Broken-Tutu-24B,finetuned
ResplendentAI/SOVL_Llama3_8B,QuantFactory/SOVL_Llama3_8B-GGUF,quantized
meta-llama/Llama-2-70b,inceptionai/jais-adapted-70b,finetuned
meta-llama/Llama-2-70b,epfl-llm/meditron-70b,finetuned
CausalLM/7B-DPO-alpha,tastypear/CausalLM-7B-DPO-alpha-GGUF,quantized
microsoft/Phi-4-reasoning,unsloth/Phi-4-reasoning-GGUF,quantized
microsoft/Phi-4-reasoning,bartowski/microsoft_Phi-4-reasoning-GGUF,quantized
microsoft/Phi-4-reasoning,unsloth/phi-4-reasoning-unsloth-bnb-4bit,quantized
microsoft/Phi-4-reasoning,unsloth/phi-4-reasoning-bnb-4bit,quantized
microsoft/Phi-4-reasoning,lmstudio-community/Phi-4-reasoning-MLX-4bit,quantized
microsoft/Phi-4-reasoning,lmstudio-community/Phi-4-reasoning-GGUF,quantized
dreamgen/opus-v0-7b,TheBloke/opus-v0-7B-GGUF,quantized
LGAI-EXAONE/EXAONE-Deep-2.4B,LGAI-EXAONE/EXAONE-Deep-2.4B-GGUF,quantized
LGAI-EXAONE/EXAONE-Deep-2.4B,LGAI-EXAONE/EXAONE-Deep-2.4B-AWQ,quantized
LGAI-EXAONE/EXAONE-Deep-2.4B,DavidAU/EXAONE-Deep-2.4B-Reasoning-MAX-NEO-Imatrix-GGUF,quantized
LGAI-EXAONE/EXAONE-Deep-2.4B,bartowski/LGAI-EXAONE_EXAONE-Deep-2.4B-GGUF,quantized
DavidAU/Gemma-The-Writer-DEADLINE-10B,DavidAU/Gemma-The-Writer-DEADLINE-10B-GGUF,quantized
unsloth/gemma-3-1b-it,umar141/Gemma_1B_Baro_v2_vllm,finetuned
